wdid,facility_name,region,county,place_type,year,ml_risk_score,ml_risk_pct,ml_percentile,total_actions_24mo,avg_severity_24mo,total_outstanding,monetary_rate_24mo,escalation_ratio
5B05NP00009,Royal Mountain King Mine,5S,Calaveras,Metal Mining,2013,0.2165782008769192,21.7,93.5,7,3.0,0.0,0.0,1.0
5SSO10961,Groveland CS,5F,Tuolumne,Collection_System,2013,0.21562076816692388,21.6,93.5,4,2.75,0.0,0.0,1.0
7A135003001,Bull Holdings Corp 97-108,7,Imperial,Composting Facility,2005,0.21168308093514618,21.2,93.4,6,2.6,0.0,0.0,1.0
9 000000086,SONGS Unit 1,9,San Diego,Power Plant,2001,0.21149141435465202,21.1,93.3,4,2.8333333333333335,0.0,0.25,1.0
5A290101001,Nevada City WWTP,5S,Nevada,Wastewater Treatment Facility,2017,0.21113489059236612,21.1,93.3,3,4.333333333333333,0.0,0.3333333333333333,1.0
7A130102041,Calipatria City WWTP,7,Imperial,Wastewater Treatment Facility,2009,0.20975125572005118,21.0,93.2,3,3.6666666666666665,0.0,0.3333333333333333,1.0
4B191319001,Santa Anita Park,4,Los Angeles,Animal Feeding,2001,0.2096854320219745,21.0,93.2,5,4.666666666666667,0.0,0.4,1.0
5A34NP00043,"Sterling Caviar LLC, Elverta",5S,Sacramento,Aquaculture/Hatchery,2017,0.2095749189753376,21.0,93.1,5,4.2,0.0,0.2,1.0
5C550100001,Groveland WWTF,5F,Tuolumne,Wastewater Treatment Facility,2002,0.2079895051822284,20.8,93.0,4,4.5,0.0,0.5,1.0
2 283003001,Calistoga City Dunaweal WWTP,2,Napa,Wastewater Treatment Facility,2014,0.20710373210028302,20.7,93.0,3,3.6666666666666665,0.0,0.3333333333333333,1.0
2 494009001,Sonoma Valley County SD WWTP,2,Sonoma,Wastewater Treatment Facility,2004,0.20705797368695608,20.7,92.9,4,5.25,0.0,0.5,1.0
5D152013001,"Kern Front Oil Field,  Kern Front No. 2 Treatment Facility & Reservoir B",5F,Kern,Oil/Gas Extraction,2013,0.2069757651952713,20.7,92.8,3,4.333333333333333,0.0,0.3333333333333333,1.0
